code_funcao,desc_funcao,cofog1_code,cofog1_en,cofog1_pt
10,"SAÚDE",07,Health,"Saúde"
4,"ADMINISTRAÇÃO",01,"General public services","Serviços gerais da administração pública"
19,"CIÊNCIA E TECNOLOGIA",04,"Economic affairs","Assuntos económicos"
24,"COMUNICAÇÕES",01,"General public services","Serviços gerais da administração pública"
18,"GESTÃO AMBIENTAL",05,"Environmental protection","Proteção do ambiente"
6,"SEGURANÇA PÚBLICA",03,"Public order and safety","Segurança e ordem pública"
9,"PREVIDÊNCIA SOCIAL",10,"Social protection","Proteção social"
26,TRANSPORTE,04,"Economic affairs","Assuntos económicos"
12,"EDUCAÇÃO",09,Education,"Educação"
23,"COMÉRCIO E SERVIÇOS",04,"Economic affairs","Assuntos económicos"
13,CULTURA,08,"Recreation, culture and religion","Desporto, recreação, cultura e religião"
15,URBANISMO,06,"Housing and community amenities","Habitação e equipamentos coletivos"
8,"ASSISTÊNCIA SOCIAL",10,"Social protection","Proteção social"
27,"DESPORTO E LAZER",08,"Recreation, culture and religion","Desporto, recreação, cultura e religião"
21,"ORGANIZAÇÃO AGRÁRIA",04,"Economic affairs","Assuntos económicos"
20,AGRICULTURA,04,"Economic affairs","Assuntos económicos"
16,"HABITAÇÃO",06,"Housing and community amenities","Habitação e equipamentos coletivos"
22,"INDÚSTRIA",04,"Economic affairs","Assuntos económicos"
11,TRABALHO,10,"Social protection","Proteção social"
3,"ESSENCIAL À JUSTIÇA",03,"Public order and safety","Segurança e ordem pública"
1,LEGISLATIVA,01,"General public services","Serviços gerais da administração pública"
25,ENERGIA,04,"Economic affairs","Assuntos económicos"
14,"DIREITOS DA CIDADANIA",01,"General public services","Serviços gerais da administração pública"
2,"JUDICIÁRIA",01,"General public services","Serviços gerais da administração pública"
17,SANEAMENTO,06,"Housing and community amenities","Habitação e equipamentos coletivos"
28,"ENCARGOS ESPECIAIS",01,"General public services","Serviços gerais da administração pública"
7,"RELAÇÕES EXTERIORES",01,"General public services","Serviços gerais da administração pública"
99,"RESERVA DE CONTINGÊNCIA",01,"General public services","Serviços gerais da administração pública"
